ProjectDescriptionID,catchRawID,trapVisitID,commonName,releaseID,atCaptureRun,fishOrigin,lifeStage,forkLength,totalLength,n,visitTime,visitType,siteName,subSiteName,finalRun,actualCount
11,61147,3218,Chinook salmon,255,Spring,Natural,Parr,37.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61148,3218,Chinook salmon,255,Spring,Natural,Yolk sac fry (alevin),36.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61149,3218,Chinook salmon,255,Spring,Natural,Yolk sac fry (alevin),37.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61150,3218,Chinook salmon,255,Spring,Natural,Fry,37.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61151,3218,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61152,3218,Chinook salmon,255,Spring,Natural,Fry,37.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61153,3218,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61155,3218,Chinook salmon,255,Spring,Natural,Yolk sac fry (alevin),38.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Fall,Yes
11,61156,3218,Chinook salmon,255,Spring,Natural,Fry,35.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61157,3218,Chinook salmon,255,Spring,Natural,Yolk sac fry (alevin),37.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61158,3218,Chinook salmon,255,Spring,Natural,Fry,38.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61159,3218,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61160,3218,Chinook salmon,255,Spring,Natural,Fry,34.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61161,3218,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61162,3218,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61163,3218,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61164,3218,Chinook salmon,255,Spring,Natural,Fry,37.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61165,3218,Chinook salmon,255,Spring,Natural,Fry,35.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61166,3218,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61167,3218,Hardhead,255,Not recorded,Natural,Not recorded,,35.0,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61168,3218,Pacific lamprey,255,Not recorded,Natural,Not recorded,,104.0,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61169,3218,Pacific lamprey,255,Not recorded,Natural,Not recorded,,134.0,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61170,3218,Riffle sculpin,255,Not recorded,Natural,Not recorded,,59.0,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61171,3218,Sacramento sucker,255,Not recorded,Natural,Not recorded,,88.0,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61172,3218,Sacramento sucker,255,Not recorded,Natural,Not recorded,,84.0,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61173,3218,Sacramento sucker,255,Not recorded,Natural,Not recorded,,102.0,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61174,3218,Sacramento sucker,255,Not recorded,Natural,Not recorded,,81.0,1,2025-01-01T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61175,3219,Chinook salmon,255,Not recorded,Natural,Not recorded,,,0,2025-01-01T09:45:03Z,Start trap & begin trapping,Parrot-Phelan RST,PP RST,,Yes
11,61176,3219,Steelhead / rainbow trout,255,Not recorded,Natural,Not recorded,,,0,2025-01-01T09:45:03Z,Start trap & begin trapping,Parrot-Phelan RST,PP RST,,Yes
11,61177,3220,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61178,3220,Chinook salmon,255,Spring,Natural,Yolk sac fry (alevin),35.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61179,3220,Chinook salmon,255,Spring,Natural,Yolk sac fry (alevin),37.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61180,3220,Chinook salmon,255,Spring,Natural,Fry,37.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61181,3220,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61182,3220,Chinook salmon,255,Spring,Natural,Fry,35.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61183,3220,Chinook salmon,255,Spring,Natural,Fry,37.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61184,3220,Chinook salmon,255,Spring,Natural,Fry,38.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61185,3220,Chinook salmon,255,Spring,Natural,Fry,38.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61186,3220,Chinook salmon,255,Spring,Natural,Fry,37.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61187,3220,Chinook salmon,255,Spring,Natural,Fry,37.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61188,3220,Chinook salmon,255,Spring,Natural,Fry,38.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61189,3220,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61190,3220,Chinook salmon,255,Spring,Natural,Fry,39.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61191,3220,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61192,3220,Chinook salmon,255,Spring,Natural,Fry,37.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61193,3220,Chinook salmon,255,Spring,Natural,Fry,35.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61194,3220,Chinook salmon,255,Spring,Natural,Fry,38.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61195,3220,Chinook salmon,255,Spring,Natural,Yolk sac fry (alevin),34.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61196,3220,Chinook salmon,255,Spring,Natural,Fry,35.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61197,3220,Chinook salmon,255,Spring,Natural,Fry,35.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61198,3220,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61199,3220,Chinook salmon,255,Spring,Natural,Fry,37.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61200,3220,Chinook salmon,255,Spring,Natural,Fry,38.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61201,3220,Chinook salmon,255,Spring,Natural,Fry,37.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61202,3220,Chinook salmon,255,Spring,Natural,Fry,38.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61203,3220,Chinook salmon,255,Spring,Natural,Fry,34.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61204,3220,Chinook salmon,255,Spring,Natural,Fry,37.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61205,3220,Chinook salmon,255,Spring,Natural,Yolk sac fry (alevin),32.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61206,3220,Chinook salmon,255,Spring,Natural,Fry,38.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61207,3220,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61208,3220,Chinook salmon,255,Spring,Natural,Fry,36.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61209,3220,Chinook salmon,255,Spring,Natural,Fry,38.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61210,3220,Chinook salmon,255,Spring,Natural,Fry,37.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61211,3220,Chinook salmon,255,Spring,Natural,Fry,38.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61212,3220,Chinook salmon,255,Spring,Natural,Fry,37.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61213,3220,Chinook salmon,255,Spring,Natural,Yolk sac fry (alevin),34.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61214,3220,Chinook salmon,255,Spring,Natural,Yolk sac fry (alevin),34.0,,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61215,3220,Riffle sculpin,255,Not recorded,Natural,Not recorded,,55.0,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61216,3220,Sacramento sucker,255,Not recorded,Natural,Not recorded,,100.0,1,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61217,3220,Chinook salmon,255,Spring,Natural,Not recorded,,,2,2025-01-02T08:45:54Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,,Yes
11,61218,3221,Chinook salmon,255,Spring,Natural,Not recorded,37.0,,1,2025-01-02T09:45:27Z,Continue trapping,Parrot-Phelan RST,PP RST,,Yes
11,61219,3221,Chinook salmon,255,Spring,Natural,Not recorded,39.0,,1,2025-01-02T09:45:27Z,Continue trapping,Parrot-Phelan RST,PP RST,,Yes
11,61220,3221,Chinook salmon,255,Spring,Natural,Fry,38.0,,1,2025-01-02T09:45:27Z,Continue trapping,Parrot-Phelan RST,PP RST,,Yes
