projectDescriptionID,trapVisitID,siteName,subSiteName,visitTime,visitType,fishProcessed,trapFunctioning,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,discharge,waterVel,waterTemp,turbidity
11,3266,Parrot-Phelan RST,PP RST,2025-01-24T09:45:54Z,Continue trapping,Processed fish,Trap functioning normally,4451.0,3.45000004768372,3.45000004768372,Yes,325.0,,5.09999990463257,0.660000026226044
11,3267,Parrott-Phelan canal trap box,canal trap box,2025-01-25T08:45:46Z,Continue trapping,Processed fish,Trap functioning normally,,,,Yes,329.0,,5.30000019073486,0.569999992847443
11,3268,Parrot-Phelan RST,PP RST,2025-01-25T10:00:20Z,Continue trapping,Processed fish,Trap functioning normally,4732.0,3.29999995231628,3.15000009536743,Yes,329.0,,5.5,0.569999992847443
11,3269,Parrott-Phelan canal trap box,canal trap box,2025-01-26T08:45:18Z,Continue trapping,Processed fish,Trap functioning normally,,,,Yes,309.0,,4.69999980926514,0.629999995231628
11,3270,Parrot-Phelan RST,PP RST,2025-01-26T10:00:43Z,Continue trapping,Processed fish,Trap functioning normally,4629.0,3.29999995231628,3.34999990463257,Yes,309.0,,4.69999980926514,0.629999995231628
11,3271,Parrott-Phelan canal trap box,canal trap box,2025-01-27T09:00:11Z,Continue trapping,Processed fish,Trap functioning normally,,,,Yes,313.0,,0.166999995708466,0.649999976158142
11,3272,Parrot-Phelan RST,PP RST,2025-01-27T10:00:23Z,Continue trapping,Processed fish,Trap functioning normally,4600.0,3.34999990463257,3.5,Yes,309.0,,4.67000007629395,0.649999976158142
11,3273,Parrott-Phelan canal trap box,canal trap box,2025-01-28T08:45:23Z,Continue trapping,Processed fish,Trap functioning normally,,,,Yes,301.0,,3.90000009536743,0.579999983310699
11,3274,Parrot-Phelan RST,PP RST,2025-01-28T09:45:55Z,Continue trapping,Processed fish,Trap functioning normally,4410.0,3.29999995231628,3.40000009536743,Yes,301.0,,3.90000009536743,0.579999983310699
11,3275,Parrot-Phelan RST,PP RST,2025-01-29T08:30:42Z,Continue trapping,Processed fish,Trap functioning normally,4175.0,3.34999990463257,3.34999990463257,Yes,301.0,,39.0,0.720000028610229
