release_ID,release_time,common_name,marked_run,marked_origin,release_site,release_subsite,n_released,test_days,mark_type,mark_color,mark_position,include_analysis
296,2006-12-18T13:15:50Z,Chinook salmon,Not recorded,Not recorded,Knights Landing release site,NA,341,13,Pigment / dye,Brown,Whole body,Yes
551,2006-12-31T15:15:50Z,Chinook salmon,Not recorded,Not recorded,Knights Landing release site,NA,1307,45,Pigment / dye,Brown,Whole body,Yes
556,2007-02-13T17:45:50Z,Chinook salmon,Not recorded,Not recorded,Knights Landing release site,NA,2031,3,Pigment / dye,Brown,Whole body,Yes
552,2007-02-17T13:00:50Z,Chinook salmon,Not recorded,Not recorded,Knights Landing release site,NA,1670,7,Pigment / dye,Brown,Whole body,Yes
553,2007-02-24T13:00:50Z,Chinook salmon,Not recorded,Not recorded,Knights Landing release site,NA,1052,9,Pigment / dye,Brown,Whole body,Yes
554,2007-03-03T11:30:50Z,Chinook salmon,Not recorded,Not recorded,Knights Landing release site,NA,596,56,Pigment / dye,Brown,Whole body,Yes
555,2007-04-30T11:00:50Z,Chinook salmon,Not recorded,Not recorded,Knights Landing release site,NA,712,30,Pigment / dye,Brown,Whole body,Yes
557,2008-01-07T17:00:50Z,Chinook salmon,Not recorded,Not recorded,Knights Landing release site,NA,3500,4,Pigment / dye,Brown,Whole body,Yes
558,2008-01-12T17:00:50Z,Chinook salmon,Not recorded,Not recorded,Knights Landing release site,NA,892,7,Pigment / dye,Brown,Whole body,Yes
559,2008-01-29T15:30:50Z,Chinook salmon,Not recorded,Not recorded,Knights Landing release site,NA,2612,4,Pigment / dye,Brown,Whole body,Yes
560,2008-02-02T14:00:50Z,Chinook salmon,Not recorded,Not recorded,Knights Landing release site,NA,7180,7,Pigment / dye,Brown,Whole body,Yes
561,2008-02-09T12:00:50Z,Chinook salmon,Not recorded,Not recorded,Knights Landing release site,NA,554,7,Pigment / dye,Brown,Whole body,Yes
562,2008-02-16T11:30:50Z,Chinook salmon,Not recorded,Not recorded,Knights Landing release site,NA,243,11,Pigment / dye,Brown,Whole body,Yes
