trap_visit_ID,visit_time,site_name,subsite_name,visit_type,fish_processed,trap_functioning,include_catch,discharge,water_vel,water_temp,turbidity,dissolved_O,conductivity
8950,2004-10-05T09:45:25Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6683,NA,14.39999962,8.909999847,NA,NA
8948,2004-10-12T12:00:53Z,Knights Landing RST,8.3,Service/adjust/clean trap,N/A; not a sampling visit,Trap not in service,Yes,6298,NA,16.10000038,4.739999771,NA,NA
8946,2004-10-15T12:00:25Z,Knights Landing RST,8.3,Service/adjust/clean trap,N/A; not a sampling visit,Trap not in service,Yes,6160,NA,14.39999962,2.5,NA,NA
8944,2004-10-18T12:00:00Z,Knights Landing RST,8.3,Service/adjust/clean trap,N/A; not a sampling visit,Not recorded,Yes,NA,NA,14.39999962,3.799999952,NA,NA
8942,2004-10-20T11:30:19Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap functioning normally,Yes,7028,NA,13.30000019,6.300000191,NA,NA
8940,2004-10-22T10:30:44Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,7987,NA,12.19999981,6.03000021,NA,NA
8938,2004-10-25T10:00:09Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6691,NA,13.30000019,8.479999542,NA,NA
8936,2004-10-27T11:45:58Z,Knights Landing RST,8.3,Service/adjust/clean trap,N/A; not a sampling visit,Trap not in service,Yes,7487,NA,13.30000019,5.96999979,NA,NA
8934,2004-10-29T10:30:25Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,9108,NA,13.89999962,11.06999969,NA,NA
8932,2004-11-01T10:00:55Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,6453,NA,13.89999962,14.69999981,NA,NA
8886,2004-11-03T10:15:33Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6113,NA,13.89999962,8.069999695,NA,NA
8884,2004-11-08T10:45:30Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5730,NA,12.80000019,8.229999542,NA,NA
8882,2004-11-10T09:30:44Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5673,NA,13.89999962,9.340000153,NA,NA
8880,2004-11-12T10:30:04Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5832,NA,13.89999962,9.81000042,NA,NA
8878,2004-11-15T10:30:34Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,5775,NA,14.39999962,10.31000042,NA,NA
8876,2004-11-17T10:30:51Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5239,NA,13.89999962,10.19999981,NA,NA
8874,2004-11-19T11:15:19Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,4875,NA,13.89999962,9.159999847,NA,NA
8872,2004-11-22T13:00:02Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,4581,NA,10.60000038,7.800000191,NA,NA
8870,2004-11-24T10:30:52Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,4408,NA,10,7.239999771,NA,NA
8868,2004-11-26T10:00:17Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,4279,NA,11.10000038,7.119999886,NA,NA
8850,2004-11-29T10:15:59Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5132,NA,9.399999619,11.09000015,NA,NA
8848,2004-12-01T10:30:07Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5262,NA,8.899999619,8.550000191,NA,NA
8846,2004-12-03T11:30:06Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5087,NA,7.800000191,6.78000021,NA,NA
8844,2004-12-06T09:30:49Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,4944,NA,8.300000191,7.429999828,NA,NA
8842,2004-12-08T10:00:43Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,6094,NA,8.899999619,15.10000038,NA,NA
8840,2004-12-10T14:00:50Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,18371,NA,11.10000038,32.40000153,NA,NA
8838,2004-12-10T15:30:58Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,18371,NA,11.10000038,32.40000153,NA,NA
8834,2004-12-13T10:30:57Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,9395,NA,11.69999981,29.5,NA,NA
8832,2004-12-14T10:30:22Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,8590,NA,12.19999981,13.39999962,NA,NA
8830,2004-12-15T10:00:20Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,8069,NA,11.69999981,19.64999962,NA,NA
8828,2004-12-17T09:45:44Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,7178,NA,11.10000038,14,NA,NA
8826,2004-12-20T10:00:45Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,6224,NA,11.10000038,13.5,NA,NA
8824,2004-12-22T09:30:35Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5770,NA,9.399999619,9.390000343,NA,NA
8822,2004-12-23T09:30:19Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5693,NA,8.899999619,10.05000019,NA,NA
8814,2004-12-27T10:00:06Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,5992,NA,8.300000191,9.680000305,NA,NA
8812,2004-12-29T11:30:02Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap functioning normally,Yes,27012,NA,8.300000191,314.5,NA,NA
8808,2004-12-31T11:00:19Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,Yes,25767,NA,9.399999619,183.5,NA,NA
8806,2005-01-01T09:30:35Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,Yes,24746,NA,10,106.9499969,NA,NA
