projectDescriptionID,trapVisitID,visitTime,siteName,subSiteName,visitType,fishProcessed,trapFunctioning,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,waterTemp,turbidity
2,1,1997-12-22T10:40:00Z,Eye Riffle,Eye riffle_north,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,2,1997-12-22T16:48:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,3,1997-12-23T11:40:00Z,Eye Riffle,Eye riffle_north,End trapping,Processed fish,Not recorded,,,1.5,Yes,8.888889313,
2,4,1997-12-23T13:34:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,2917,,2.799999952,Yes,8.888889313,
2,5,1997-12-26T13:56:00Z,Eye Riffle,Eye riffle_north,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,6,1997-12-26T16:01:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,7,1997-12-27T09:56:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1826,,2.200000048,Yes,7.777777672,
2,8,1997-12-27T12:17:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,2.200000048,Yes,7.777777672,
2,9,1997-12-28T09:11:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1873,,1.600000024,Yes,8.333333015,
2,10,1997-12-28T11:08:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2522,,1.5,Yes,7.777777672,
2,11,1997-12-29T12:32:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1961,,1.399999976,Yes,8.888889313,
2,12,1997-12-29T14:28:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2605,,2,Yes,8.333333015,
2,13,1997-12-30T10:08:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1528,,1.5,Yes,8.333333015,
2,14,1997-12-30T12:08:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2145,,2,Yes,8.888889313,
2,15,1997-12-31T10:24:00Z,Eye Riffle,Eye riffle_north,End trapping,Processed fish,Not recorded,1599,,1.5,Yes,8.888889313,
2,16,1997-12-31T12:24:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,2495,,1.5,Yes,8.888889313,
2,17,1998-01-02T11:53:00Z,Eye Riffle,Eye riffle_north,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,18,1998-01-02T12:53:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,19,1998-01-03T09:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2379,,2.099999905,Yes,9.444444656,
2,20,1998-01-03T12:56:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2367,,1.799999952,Yes,10.55555534,
2,21,1998-01-04T09:18:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2187,,2,Yes,9.444444656,
2,22,1998-01-04T12:16:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,2.299999952,Yes,10,
2,23,1998-01-05T11:16:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,2.599999905,Yes,8.888889313,
2,24,1998-01-05T15:38:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2436,,1.600000024,Yes,10,
2,25,1998-01-06T11:16:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1806,,1.799999952,Yes,6.666666508,
2,26,1998-01-06T14:16:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,2.799999952,Yes,8.333333015,
2,27,1998-01-07T10:25:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1978,,1.600000024,Yes,8.888889313,
2,28,1998-01-07T12:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3008,,2.5,Yes,8.333333015,
2,29,1998-01-08T11:45:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3370,,2.400000095,Yes,8.333333015,
2,30,1998-01-08T14:07:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2353,,1.200000048,Yes,,
2,31,1998-01-09T12:31:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Trap functioning normally,2097,,1.600000024,Yes,9.444444656,
2,32,1998-01-09T14:28:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3612,,2.5,Yes,10,
2,33,1998-01-10T09:22:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2054,,1.799999952,Yes,9.444444656,
2,34,1998-01-10T11:25:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2769,,1.799999952,Yes,9.722222328,
2,35,1998-01-11T09:29:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2481,,2.099999905,Yes,9.722222328,
2,36,1998-01-11T12:05:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1875,,2.299999952,Yes,10.55555534,
2,37,1998-01-12T08:39:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2460,,2.299999952,Yes,10.27777767,
2,38,1998-01-12T11:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1561,,,Yes,10.83333302,
2,39,1998-01-13T10:01:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,4.5,Yes,10.55555534,
2,40,1998-01-13T11:22:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,3164,,1.799999952,Yes,10,
2,41,1998-01-14T09:22:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1367,,4,Yes,10.27777767,
2,42,1998-01-14T10:43:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2398,,2,Yes,10,
2,43,1998-01-14T15:05:00Z,Live Oak,Live Oak,End trapping,No fish were caught,Not recorded,,,,Yes,,
2,44,1998-01-15T11:00:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,45,1998-01-15T11:59:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,3254,,2.5,Yes,10,
2,46,1998-01-15T16:40:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,1848,,6.800000191,Yes,11.11111069,
2,47,1998-01-16T11:42:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2629,,1.899999976,Yes,10.55555534,
2,48,1998-01-17T10:51:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,49,1998-01-17T11:40:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,,,1.899999976,Yes,11.11111069,
2,50,1998-01-18T10:18:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2333,,1.899999976,Yes,10,
2,51,1998-01-18T13:44:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1591,,6,Yes,10.55555534,
2,52,1998-01-19T09:20:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2946,,1.899999976,Yes,9.722222328,
2,53,1998-01-19T12:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,8776,,6.800000191,Yes,10,
2,54,1998-01-20T09:47:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2730,,1.5,Yes,9.166666985,
2,55,1998-01-20T12:10:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4556,,6.5,Yes,9.722222328,
2,56,1998-01-21T12:32:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1952,,1.100000024,Yes,9.444444656,
2,57,1998-01-21T15:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2297,,4.300000191,Yes,,
2,58,1998-01-22T11:31:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1472,,1.299999952,Yes,9.722222328,
2,59,1998-01-22T14:33:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,4.300000191,Yes,9.722222328,
2,60,1998-01-23T11:22:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1475,,1.200000048,Yes,7.222222328,
2,61,1998-01-23T13:56:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4802,,3.700000048,Yes,9.444444656,
2,62,1998-01-24T11:15:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1456,,0.600000024,Yes,9.444444656,
2,63,1998-01-24T13:34:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5230,,3.900000095,Yes,9.444444656,
2,64,1998-01-25T09:06:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1336,,1.200000048,Yes,9.166666985,
2,65,1998-01-25T12:10:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,144,,3.700000048,Yes,9.722222328,
2,66,1998-01-26T11:13:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2077,,1.5,Yes,9.444444656,
2,67,1998-01-26T14:26:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5816,,4.199999809,Yes,9.722222328,
2,68,1998-01-27T09:25:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2027,,1.899999976,Yes,9.444444656,
2,69,1998-01-27T15:45:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,6673,,4.5,Yes,9.722222328,
2,70,1998-01-28T08:42:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,71,1998-01-28T10:00:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2366,,1.600000024,Yes,9.166666985,
2,72,1998-01-28T15:45:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,976,,2.5,Yes,9.722222328,
2,73,1998-01-29T09:39:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2540,,2.200000048,Yes,9.166666985,
2,74,1998-01-29T12:59:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4846,,4.300000191,Yes,10.27777767,
2,75,1998-01-30T10:00:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2457,,1.899999976,Yes,9.166666985,
2,76,1998-01-30T13:57:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6975,,4.400000095,Yes,10,
2,77,1998-01-31T09:40:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2230,,1.899999976,Yes,8.333333015,
2,78,1998-01-31T13:06:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1063,,3.700000048,Yes,10.27777767,
2,79,1998-02-01T09:30:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2067,,2.099999905,Yes,9.444444656,
2,80,1998-02-01T12:48:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,3.700000048,Yes,10,
2,81,1998-02-02T10:25:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2528,,1.5,Yes,9.444444656,
2,82,1998-02-02T13:50:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,5833,,4.300000191,Yes,10,
2,83,1998-02-03T09:16:00Z,Eye Riffle,Eye riffle_north,End trapping,Processed fish,Not recorded,2439,,2,Yes,10,
2,84,1998-02-14T11:26:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,85,1998-02-14T12:53:00Z,Eye Riffle,Eye riffle_north,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,86,1998-02-15T10:53:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2857,,1.200000048,Yes,9.444444656,
2,87,1998-02-15T14:01:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1943,,6.5,Yes,9.722222328,
2,88,1998-02-16T09:50:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1680,,1.5,Yes,8.888889313,
