ProjectDescriptionID,catchRawID,trapVisitID,commonName,releaseID,atCaptureRun,fishOrigin,lifeStage,forkLength,totalLength,n,visitTime,visitType,siteName,subSiteName,finalRun
12,1,1,Chinook salmon,0,Not recorded,Natural,Not recorded,NA,NA,0,2022-01-19T12:30:11Z,Start trap & begin trapping,Lower Feather River RST,RL,Not recorded
12,2,1,Steelhead / rainbow trout,0,Not recorded,Natural,Not recorded,NA,NA,0,2022-01-19T12:30:11Z,Start trap & begin trapping,Lower Feather River RST,RL,NA
12,3,2,Chinook salmon,0,Not recorded,Natural,Not recorded,NA,NA,0,2022-01-19T12:30:56Z,Start trap & begin trapping,Lower Feather River RST,RR,Not recorded
12,4,2,Steelhead / rainbow trout,0,Not recorded,Natural,Not recorded,NA,NA,0,2022-01-19T12:30:56Z,Start trap & begin trapping,Lower Feather River RST,RR,NA
12,9,3,Chinook salmon,0,Spring,Natural,Parr,58,NA,1,2022-01-20T10:45:43Z,Continue trapping,Lower Feather River RST,RL,Spring
12,10,3,Chinook salmon,0,Fall,Natural,Fry,37,NA,1,2022-01-20T10:45:43Z,Continue trapping,Lower Feather River RST,RL,Fall
12,11,3,Chinook salmon,0,Fall,Natural,Fry,38,NA,1,2022-01-20T10:45:43Z,Continue trapping,Lower Feather River RST,RL,Fall
12,12,3,Chinook salmon,0,Fall,Natural,Fry,38,NA,1,2022-01-20T10:45:43Z,Continue trapping,Lower Feather River RST,RL,Fall
12,13,3,Wakasagi / Japanese smelt,0,Not recorded,Natural,Not recorded,NA,55,1,2022-01-20T10:45:43Z,Continue trapping,Lower Feather River RST,RL,NA
12,16,4,Chinook salmon,0,Fall,Natural,Fry,39,NA,1,2022-01-20T10:45:07Z,Continue trapping,Lower Feather River RST,RR,Fall
12,17,4,Chinook salmon,0,Fall,Natural,Fry,38,NA,1,2022-01-20T10:45:07Z,Continue trapping,Lower Feather River RST,RR,Fall
12,18,4,Chinook salmon,0,Fall,Natural,Fry,36,NA,1,2022-01-20T10:45:07Z,Continue trapping,Lower Feather River RST,RR,Fall
12,19,4,Chinook salmon,0,Fall,Natural,Fry,39,NA,1,2022-01-20T10:45:07Z,Continue trapping,Lower Feather River RST,RR,Fall
12,20,4,Chinook salmon,0,Fall,Natural,Fry,37,NA,1,2022-01-20T10:45:07Z,Continue trapping,Lower Feather River RST,RR,Fall
12,21,4,Chinook salmon,0,Fall,Natural,Fry,37,NA,1,2022-01-20T10:45:07Z,Continue trapping,Lower Feather River RST,RR,Fall
12,22,4,Chinook salmon,0,Fall,Natural,Fry,35,NA,1,2022-01-20T10:45:07Z,Continue trapping,Lower Feather River RST,RR,Fall
12,23,4,Wakasagi / Japanese smelt,0,Not recorded,Natural,Not recorded,NA,62,1,2022-01-20T10:45:07Z,Continue trapping,Lower Feather River RST,RR,NA
12,26,5,Chinook salmon,0,Fall,Natural,Parr,41,NA,1,2022-01-21T10:45:31Z,Continue trapping,Lower Feather River RST,RR,Fall
12,27,5,Chinook salmon,0,Fall,Natural,Parr,38,NA,1,2022-01-21T10:45:31Z,Continue trapping,Lower Feather River RST,RR,Fall
12,28,5,Chinook salmon,0,Fall,Natural,Parr,36,NA,1,2022-01-21T10:45:31Z,Continue trapping,Lower Feather River RST,RR,Fall
12,29,5,Chinook salmon,0,Fall,Natural,Parr,40,NA,1,2022-01-21T10:45:31Z,Continue trapping,Lower Feather River RST,RR,Fall
12,30,5,Chinook salmon,0,Fall,Natural,Fry,39,NA,1,2022-01-21T10:45:31Z,Continue trapping,Lower Feather River RST,RR,Fall
12,31,5,Chinook salmon,0,Fall,Natural,Parr,38,NA,1,2022-01-21T10:45:31Z,Continue trapping,Lower Feather River RST,RR,Fall
12,32,5,Inland silverside,0,Not recorded,Natural,Not recorded,NA,82,1,2022-01-21T10:45:31Z,Continue trapping,Lower Feather River RST,RR,NA
12,33,5,Wakasagi / Japanese smelt,0,Not recorded,Natural,Not recorded,NA,86,1,2022-01-21T10:45:31Z,Continue trapping,Lower Feather River RST,RR,NA
12,34,5,Wakasagi / Japanese smelt,0,Not recorded,Natural,Not recorded,NA,90,1,2022-01-21T10:45:31Z,Continue trapping,Lower Feather River RST,RR,NA
12,35,5,Wakasagi / Japanese smelt,0,Not recorded,Natural,Not recorded,NA,76,1,2022-01-21T10:45:31Z,Continue trapping,Lower Feather River RST,RR,NA
