projectDescriptionID,trapVisitID,siteName,subSiteName,visitTime,visitType,fishProcessed,trapFunctioning,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,discharge,waterVel,waterTemp,turbidity,dissolvedOxygen,conductivity,waterTempUnit
12,1,Lower Feather River RST,RL,2022-01-19T12:30:11Z,Start trap & begin trapping,N/A; not a sampling visit,Not recorded,NA,NA,1.200000048,Yes,NA,NA,NA,NA,NA,NA,NA
12,2,Lower Feather River RST,RR,2022-01-19T12:30:56Z,Start trap & begin trapping,N/A; not a sampling visit,Not recorded,NA,NA,1.049999952,Yes,NA,NA,NA,NA,NA,NA,NA
12,3,Lower Feather River RST,RL,2022-01-20T10:45:43Z,Continue trapping,Processed fish,Trap functioning normally,1574,1.100000024,1.450000048,Yes,1072,NA,9.600000381,3.029999971,11.85000038,NA,Celsius
12,4,Lower Feather River RST,RR,2022-01-20T10:45:07Z,Continue trapping,Processed fish,Trap functioning normally,1154,0.75,1.399999976,Yes,1702,NA,9.600000381,3.029999971,11.85000038,NA,Celsius
12,5,Lower Feather River RST,RR,2022-01-21T10:45:31Z,Continue trapping,Processed fish,Trap functioning normally,1526,1.100000024,1.299999952,Yes,1654,0.400000006,9.600000381,4.400000095,11.63000011,NA,Celsius
12,6,Lower Feather River RST,RL,2022-01-21T10:45:19Z,Continue trapping,Processed fish,Trap functioning normally,1967,1.450000048,1.899999976,Yes,1654,0.400000006,9.600000381,4.400000095,11.63000011,NA,Celsius
12,7,Lower Feather River RST,RL,2022-01-22T10:15:11Z,Continue trapping,Processed fish,Trap functioning normally,2099,1.299999952,1.149999976,Yes,1653,0.5,9.300000191,4.389999866,11.5,NA,Celsius
12,8,Lower Feather River RST,RR,2022-01-22T10:15:14Z,Continue trapping,Processed fish,Trap functioning normally,1553,1.100000024,1.100000024,Yes,1653,0.5,9.300000191,4.389999866,11.5,NA,Celsius
12,9,Lower Feather River RST,RL,2022-01-23T13:15:07Z,Continue trapping,Processed fish,Trap functioning normally,2131,1.25,1.100000024,Yes,1648,0.400000006,9.600000381,4.010000229,90.09999847,0.0792,Celsius
12,10,Lower Feather River RST,RR,2022-01-23T13:15:46Z,Continue trapping,Processed fish,Trap functioning normally,1567,1.049999952,1,Yes,1648,0.400000006,9.600000381,4.010000229,90.09999847,0.0792,Celsius
12,11,Lower Feather River RST,RR,2022-01-24T10:30:11Z,Continue trapping,Processed fish,Trap functioning normally,1186,0.899999976,0.949999988,Yes,1640,0.449999988,9.600000381,3.25999999,11.92000008,NA,Celsius
12,12,Lower Feather River RST,RL,2022-01-24T10:30:59Z,Continue trapping,Processed fish,Trap functioning normally,1692,0.899999976,1.100000024,Yes,1640,0.449999988,9.600000381,3.25999999,11.92000008,NA,Celsius
12,13,Lower Feather River RST,RL,2022-01-25T09:45:18Z,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,1.25,Yes,1654,NA,9.600000381,3.019999981,11.39999962,2.519999981,Celsius
12,14,Lower Feather River RST,RR,2022-01-25T09:45:11Z,Continue trapping,Processed fish,Trap functioning normally,1132,0.800000012,1.149999976,Yes,1654,NA,9.600000381,3.019999981,11.39999962,2.519999981,Celsius
12,15,Lower Feather River RST,RR,2022-01-26T10:00:15Z,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,0.949999988,Yes,1644,0.449999988,9.600000381,2.839999914,11.52000046,NA,Celsius
12,16,Lower Feather River RST,RL,2022-01-26T10:00:57Z,Continue trapping,Processed fish,Trap functioning normally,1602,0.899999976,1.049999952,Yes,1644,0.449999988,9.600000381,2.839999914,11.5,NA,Celsius
12,17,Lower Feather River RST,RL,2022-01-27T10:00:25Z,Continue trapping,Processed fish,Trap functioning normally,1627,0.850000024,1.100000024,Yes,1654,0.400000006,9.399999619,2.369999886,11.82999992,0.076499999,Celsius
12,18,Lower Feather River RST,RR,2022-01-27T10:00:41Z,Continue trapping,Processed fish,Trap functioning normally,964,0.699999988,0.800000012,Yes,1654,0.400000006,9.399999619,2.369999886,11.82999992,0.076499999,Celsius
12,19,Lower Feather River RST,RR,2022-01-28T10:15:16Z,Continue trapping,Processed fish,Trap functioning normally,1021,0.800000012,0.899999976,Yes,1663,0.400000006,9.399999619,2.470000029,11.69999981,NA,Celsius
12,20,Lower Feather River RST,RL,2022-01-28T10:15:14Z,Continue trapping,Processed fish,Trap functioning normally,1829,1,1.299999952,Yes,1663,0.400000006,9.399999619,2.470000029,11.69999981,NA,Celsius
12,21,Lower Feather River RST,RL,2022-01-29T10:30:26Z,Continue trapping,Processed fish,Trap functioning normally,2044,1.049999952,1.100000024,Yes,1820,NA,14.30000019,1.960000038,12.18999958,0.075999998,Celsius
12,22,Lower Feather River RST,RR,2022-01-29T10:30:36Z,Continue trapping,Processed fish,Trap functioning normally,891,0.899999976,0.800000012,Yes,1820,NA,14.30000019,1.960000038,12.18999958,0.075999998,Celsius
12,23,Lower Feather River RST,RL,2022-01-30T10:30:47Z,Continue trapping,Processed fish,Trap functioning normally,1935,1.850000024,1.75,Yes,2867,0.400000006,10.10000038,4.519999981,7.269999981,0.073899999,Celsius
12,24,Lower Feather River RST,RR,2022-01-30T10:30:55Z,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,1.399999976,Yes,2867,0.400000006,10.10000038,4.519999981,7.269999981,0.073899999,Celsius
12,25,Lower Feather River RST,RL,2022-01-31T10:15:57Z,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,2.650000095,Yes,3199,0.600000024,9.600000381,NA,12,NA,Celsius
12,26,Lower Feather River RST,RR,2022-01-31T10:15:43Z,Unplanned restart,No fish were caught,Trap stopped functioning,NA,0,2.049999952,No,3199,0.600000024,9.600000381,NA,12,NA,Celsius
12,27,Lower Feather River RST,RL,2022-02-01T11:00:35Z,Continue trapping,Processed fish,Trap functioning normally,4323,2.299999952,2.650000095,Yes,3260,0.699999988,8.800000191,6.059999943,104.5999985,NA,Celsius
