"s.by","passage","date","pct.imputed.catch","lower.95","upper.95","error"
"2022-W03",4121,2022-01-20,0,1913.70885544501,9734.55744051599,1955.90389430684
"2022-W04",8682,2022-01-24,0,3617.47217997549,22035.5365126431,4625.1305257047
"2022-W05",26728.5,2022-01-31,0.142857142857143,15781.1071256353,69778.3558679827,14488.6461932987
"2022-W06",15483,2022-02-07,0.285714285714286,8256.36966554107,38354.8882123946,8545.74382624036
"2022-W07",25636,2022-02-14,0,12630.2277809264,68876.4601783694,17036.2366868271
"2022-W08",23442.5,2022-02-21,0,11921.6310787011,68424.9573323359,14654.3520232647
"2022-W09",29588,2022-02-28,0,9288.3922077484,116569.618782782,62966.9698904496
"2022-W10",60191,2022-03-07,0,8318.4906328206,2049683.73199329,3391235.89385808
"2022-W11",30499,2022-03-14,0,16984.6993817615,67652.8740200587,14160.2684994866
"2022-W12",27983,2022-03-21,0,13592.7801355848,86880.0471789812,34671.1409071667
"2022-W13",278193.5,2022-03-28,0,27861.1516139419,11048975.4320606,7140863.08771046
"2022-W14",36886.5,2022-04-04,0,10267.1632601561,348683.728140741,128352.042795213
"2022-W15",7736.5,2022-04-11,0,3423.83984634697,21666.66952036,4693.08446774841
"2022-W16",1516.5,2022-04-18,0,743.949448990124,3353.11950187999,678.070926028637
"2022-W17",3978.5,2022-04-25,0,1979.19492052019,9637.56030831153,1843.91325088532
"2022-W18",4610,2022-05-02,0.142857142857143,2137.99890797687,12028.9046801693,2420.9442957535
"2022-W19",34415,2022-05-09,0,14198.0302252126,83321.5433380591,16879.5673989579
"2022-W20",12063,2022-05-16,0,5484.05282970238,30183.2581058111,6191.26475075774
"2022-W21",2806,2022-05-23,0.285714285714286,1214.82976286668,7387.49403310655,1542.66876255521
"2022-W22",1934.5,2022-05-30,0,743.406159152972,5246.42433656254,1132.65423071612
"2022-W23",19,2022-06-06,0,16.798170212848,55.0585723279447,10.9679301699551
"2022-W24",463.5,2022-06-13,0.142857142857143,165.524922328549,1249.46963411202,290.44441697606
"2022-W25",0,2022-06-20,0,0,0,0
