"s.by","passage","date","pct.imputed.catch","lower.95","upper.95","error"
"2022-W03",4309.5,2022-01-20,0,2507.99416151986,11950.052756236,2543.50939404585
"2022-W04",8888,2022-01-24,0,4655.86199098199,27193.1948374925,6015.99828548895
"2022-W05",28147.5,2022-01-31,0.142857142857143,16487.7461075545,89652.9155368229,19011.0224030274
"2022-W06",17969,2022-02-07,0.285714285714286,9559.2943174871,50429.4024741433,10752.1740966515
"2022-W07",30930.5,2022-02-14,0,16509.4470449691,83834.4579011442,18309.6352071467
"2022-W08",24004,2022-02-21,0,14696.6489969763,80328.4780194413,17866.1136058075
"2022-W09",21980.5,2022-02-28,0,11926.78972828,64319.954788415,14392.0005738928
"2022-W10",18859.5,2022-03-07,0,10259.5499041248,49899.8775818343,11197.899767106
"2022-W11",35024,2022-03-14,0,18773.4984330813,89819.5170684078,20508.6266873598
"2022-W12",25613,2022-03-21,0,13088.3263451508,65098.418478345,15642.9235312624
"2022-W13",71222,2022-03-28,0,32772.8159358838,222848.713152369,55453.3985444173
"2022-W14",20276.5,2022-04-04,0,9921.09142826199,62778.8152422499,15207.4774624894
"2022-W15",7403.5,2022-04-11,0,3465.70674277725,20145.5346050507,4709.31220542073
"2022-W16",1483.5,2022-04-18,0,856.017406273405,3989.61240804999,878.348805024007
"2022-W17",4136.5,2022-04-25,0,2339.5008104727,11578.0333675089,2460.34034158497
"2022-W18",4869.5,2022-05-02,0.142857142857143,2531.712219186,14695.5953112457,3173.38259427155
"2022-W19",32385,2022-05-09,0,16043.6452275389,98268.3793575591,21710.7322791803
"2022-W20",11912.5,2022-05-16,0,6060.60202288294,36592.8471667454,8101.71683475736
"2022-W21",2774.5,2022-05-23,0.285714285714286,1358.65923679569,9022.56742853708,2008.2721266189
"2022-W22",1939.5,2022-05-30,0,890.228907508748,6445.22185656217,1473.60869558997
"2022-W23",19,2022-06-06,0,15.4332590478153,49.9618758405325,8.92168887551904
"2022-W24",463.5,2022-06-13,0.142857142857143,202.269868106644,1657.73862607865,377.438161666946
"2022-W25",0,2022-06-20,0,0,0,0
